GenusSpecies,Source,habitat,location,commonname,othernames,endemic,location2,AUSnative,USAnative,nonfeed,benthic,surwcol,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,blood,eggs,other,maxtl_cm,matuage,longevity,fecundity,serial,guarder,open.substratum.spawner,broodhider,livebearers,Pelagophils,euryhaline,Aestivates.during.drought,mintemp,maxtemp,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,pelagic,rivers,sprgsubt,lacustrine,potanadr,slowcurr,modcurr,fastcurr,IUCNstatus,list1,list2,list3,list4,list5,extinct
Cyprinodon diabolis,http://www.fishtraits.info/,freshwater,North America,Devil's Hole pupfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,0.3,2,1000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-1.4,38.7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,CR,TRUE,FALSE,FALSE,FALSE,TRUE,O
Cyprinodon elegans,http://www.fishtraits.info/,freshwater,North America,Comanche Springs pupfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,0.5,1.5,1000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,35.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Cyprinodon eremus,fishbase,freshwater,North America,Sonoyta pupfish,,TRUE,non-native,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,4,NA,3,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Cyprinodon macularius,http://www.fishtraits.info/,freshwater,North America,desert pupfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7.2,0.5,2,1000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.8,41.5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,TRUE,TRUE,FALSE,O
Cyprinodon nevadensis,http://www.fishtraits.info/,freshwater,North America,Amargosa pupfish,Saratoga Springs pupfish,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.5,0.5,1.5,1500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.1,37.8,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,FALSE,TRUE,O
Cyprinodon pecosensis,http://www.fishtraits.info/,freshwater,North America,Pecos pupfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,0.5,3,1000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.4,35.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,FALSE,O
Cyprinodon radiosus,http://www.fishtraits.info/,freshwater,North America,Owens pupfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.5,0.5,2,1500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.6,41.6,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Cyprinodon salinus,http://www.fishtraits.info/,freshwater,North America,Salt Creek pupfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.3,0.3,2,1000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4.5,46.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EN,FALSE,FALSE,FALSE,FALSE,TRUE,O
Cyprinodon variegatus,http://www.fishtraits.info/,"marine, freshwater",North America,sheepshead minnow,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,9,1,3,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cyprinus carpio,http://www.fishtraits.info/,"freshwater, brackish",Worldwide,common carp,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,120,2,17,2000000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Dionda argentosa,fishbase,freshwater,North America,Manantial roundnose minnow,,FALSE,USA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Dionda episcopa,http://www.fishtraits.info/,freshwater,North America,roundnose minnow,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7.7,1.5,3.5,1000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,35.5,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Dorosoma cepedianum,http://www.fishtraits.info/,"freshwater, marine, brackish",North America,gizzard shad,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,60,2,6,543910,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-6.8,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Drombus triangularis,fishbase.se,amphidromous ,Indo-Pacific,brown drombus,,FALSE,AUS,TRUE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Empetrichthys latos,http://www.fishtraits.info/,freshwater,North America,Pahrump poolfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6,1,3,300,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,CR,TRUE,FALSE,FALSE,TRUE,TRUE,O
Esox lucius,http://www.fishtraits.info/,freshwater,North America,northern pike,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,150,2,30,600000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Etheostoma grahami,http://www.fishtraits.info/,freshwater,North America,Rio Grande darter,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4.4,1,2,60,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,VU,TRUE,FALSE,FALSE,FALSE,FALSE,O
Etheostoma lepidum,http://www.fishtraits.info/,freshwater,North America,greenthroat darter,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.6,1,3,190,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.1,34.5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NT,TRUE,FALSE,FALSE,FALSE,FALSE,O
Fundulus grandis,fishbase.de,freshwater & brackish,North America,Gulf killifish,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Fundulus zebrinus,http://www.fishtraits.info/,freshwater,North America,plains killifish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,1,2.5,250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-7.4,34.6,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Galaxias maculatus,fishesofaustralia.net.au,freshwater and brackish,Australia,inanga,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,19,NA,NA,"13,500",FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Gambusia affinis,http://www.fishtraits.info/,freshwater,North America,western mosquitofish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,0.3,1,315,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,33.9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Gambusia holbrooki,http://www.fishtraits.info/,freshwater,North America,eastern mosquitofish,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,0.077,NA,354,TRUE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Gambusia nobilis,http://www.fishtraits.info/,freshwater,North America,pecos gambusia,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,0.3,1,100,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-2,35.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,FALSE,O
Gasterosteus aculeatus,http://www.fishtraits.info/,"anadromous (marine or brackish), freshwater (lentic populations)",Circumarctic,threespine stickleback,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,2.5,250,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Gila atraria,http://www.fishtraits.info/,freshwater,North America,Utah chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,56,2,8,40750,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-11.4,22.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Gila ditaenia,http://www.fishtraits.info/,freshwater,North America,sonora chub,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
Gila elegans,http://www.fishtraits.info/,freshwater,North America,bonytail chub,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,64,4.5,49,300000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.1,35.8,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,CR,TRUE,FALSE,TRUE,TRUE,FALSE,O
Gila intermedia,http://www.fishtraits.info/: IUCN,freshwater,North America,Gila chub,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,22,2,5,5000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,36.8,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,FALSE,O
Gila nigra,fishbase,freshwater,North America,headwater chub,,TRUE,USA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,NT,TRUE,FALSE,TRUE,TRUE,TRUE,O
Gila orcuttii,http://www.fishtraits.info/,freshwater,North America,Arroyo chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,1,4,4000,TRUE,NA,NA,NA,NA,FALSE,FALSE,FALSE,7.9,26.2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
Gila pandora,http://www.fishtraits.info/,freshwater,North America,Rio Grande chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,18,1.5,5,6322,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.6,31.2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,LC,TRUE,FALSE,TRUE,TRUE,FALSE,O
Gila purpurea,http://www.fishtraits.info/,freshwater,North America,Yaqui chub,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,14,1,3,3000,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,FALSE,O
Gila robusta,http://www.fishtraits.info/,freshwater,North America,roundtail chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,43,2,9,45125,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.1,26.6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,VU,TRUE,FALSE,TRUE,FALSE,FALSE,O
Herichthys carpintis,fishbase,freshwater,North America,lowland cichlid,,FALSE,non-native,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Herichthys cyanoguttatus,fishbase,freshwater,North America,Rio Grande cichlid,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,NA,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,30,NA,NA,500,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,TRUE,NA,FALSE,NA,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Hybognathus placitus,http://www.fishtraits.info/,freshwater,North America,plains minnow,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,1,2,4134,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-10.8,32.7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,TRUE,FALSE,FALSE,FALSE,FALSE,O
Hysterocarpus traskii,http://www.fishtraits.info/,"freshwater, brackish",North America,tule perch,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15,1.5,3,60,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,2.9,34.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Ictalurus furcatus,http://www.fishtraits.info/,freshwater,North America,blue catfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,165,5,20,50000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-2.2,34,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Ictalurus lupus,http://www.fishtraits.info/,freshwater,North America,headwater catfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,37,3,9,4000,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1.4,36.4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,DD,TRUE,FALSE,FALSE,TRUE,FALSE,O
Ictalurus punctatus,http://www.fishtraits.info/,freshwater,North America,channel catfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,132,3.5,10,10600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.5,32.4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Iotichthys phlegethontis,http://www.fishtraits.info/,freshwater,North America,least chub,,TRUE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,1,3,2700,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.4,33.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,FALSE,O
Leiopotherapon aheneus,fishbase.de,freshwater,Oceania,fortescue grunter,,TRUE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,13,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NT,TRUE,FALSE,FALSE,TRUE,TRUE,O
Leiopotherapon unicolor,fishbase.de,freshwater,Oceania,spangled perch,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31,1,NA,94169,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Lepidomeda copei,fishbase,freshwater,North America,northern leatherside chub,,FALSE,USA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TR,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NT,TRUE,FALSE,TRUE,TRUE,FALSE,O
Lepisosteus oculatus,http://www.fishtraits.info/,freshwater,North America,spotted gar,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,112,3.5,18,22000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.1,33.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Lepisosteus osseus,http://www.fishtraits.info/,freshwater,North America,longnose gar,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,200,5,26,77156,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-4.2,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Lepomis cyanellus,http://www.fishtraits.info/,freshwater,North America,green sunfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,31,2,8,10000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-5.3,32.9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
