GenusSpecies,Source,habitat,location,commonname,othernames,endemic,AUSnative,USAnative,nonfeed,benthic,surwcol,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,blood,eggs,other,maxtl_cm,matuage,longevity,fecundity,serial,guarder,open substratum spawner,broodhider,livebearers,Pelagophils,euryhaline,Aestivates during drought,mintemp,maxtemp,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,pelagic,rivers,sprgsubt,lacustrine,potanadr,slowcurr,modcurr,fastcurr,IUCNstatus,list1,list2,list3,list4,list5,extinct
Carpiodes carpio,http://www.fishtraits.info/,freshwater,North America,river carpsucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,64,3,10,300000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.8,33.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Carpiodes cyprinus,http://www.fishtraits.info/,,,quillback,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,66,4,10,63779,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-11.7,29.6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus ardens,http://www.fishtraits.info/,freshwater,North America,Utah sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,65,2.5,11,20000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6,25.4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus bernardini,http://www.fishtraits.info/,,North America,Yaqui sucker,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,40,4,10,15000,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,-2.6,29.9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,LC,TRUE,FALSE,FALSE,TRUE,FALSE,O
Catostomus cahita,,freshwater,North America,Cahita sucker,,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus catostomus,http://www.fishtraits.info/,,North America,longnose sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,64,4,12,60307,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus clarkii,http://www.fishtraits.info/,,North America,desert sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,33,3,9,20000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.6,34.6,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,LC,TRUE,TRUE,FALSE,TRUE,FALSE,O
Catostomus columbianus,http://www.fishtraits.info/,,North America,bridgelip sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,30,6,9,21040,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,-5,26.9,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus commersonii,http://www.fishtraits.info/,freshwater,North America,white sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,64,3,8,50000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus conchos,,freshwater,North America,NA,,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,NA,NA,NA,NA,NA,O
Catostomus discobolus,http://www.fishtraits.info/,,North America,bluehead sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,40,2,7,8500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.1,28,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus fumeiventris,http://www.fishtraits.info/,,North America,Owens sucker,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,50,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,-7.2,28.8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus insignis,http://www.fishtraits.info/,freshwater,North America,Sonora sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,80,3,8,50000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.8,38.6,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,LC,TRUE,FALSE,FALSE,TRUE,FALSE,O
Catostomus latipinnis,http://www.fishtraits.info/,,North America,flannelmouth sucker,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,56,5,10,40000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.7,33.6,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus leopoldi,https://www.iucnredlist.org/species/4045/2932690,freshwater,North America,Bavispe sucker,,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
Catostomus occidentalis,http://www.fishtraits.info/,,North America,mountain sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,4,9,3710,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-12,20.4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus platyrhynchus,http://www.fishtraits.info/,,North America,mountain sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,4,9,3710,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-12,20.4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus plebeius,http://www.fishtraits.info/,freshwater,North America,Rio Grande sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,20,3,7,4701,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.6,33,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,DD,TRUE,FALSE,FALSE,FALSE,FALSE,O
Catostomus santaanae,http://www.fishtraits.info/,freshwater,North America,Santa Ana sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,25,1.5,3.5,16151,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9,25.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Catostomus tahoensis,http://www.fishtraits.info/,freshwater,North America,Tahoe sucker,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,61,5,7,59300,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.1,27.4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus warnerensis,http://www.fishtraits.info/,freshwater,North America,Warner sucker,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,35,3.5,9,15000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.9,28.6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Catostomus wigginsi,https://www.iucnredlist.org/species/4052/176135768,freshwater,North America,opata sucker,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12.7,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,VU,TRUE,FALSE,TRUE,TRUE,TRUE,O
Centropomus nigrescens,fishbase.se,estuaries,North America,Black snook,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Centropomus robalito,,estuaries,North America,Yellowfin snook,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Centropomus undecimalis,,estuaries,North America,Common snook,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,140,4,NA,4000000,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Chasmistes cujus,http://www.fishtraits.info/,,North America,cui-ui,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,70,6,41,196000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.4,31,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,FALSE,FALSE,O
Chasmistes liorus,http://www.fishtraits.info/,,North America,June sucker,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24,NA,40,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-10.1,31.9,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,CR,FALSE,FALSE,FALSE,FALSE,FALSE,O
Chirostoma bartoni,fishbase.se,freshwater,North America,Alberca silverside,,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,CR,TRUE,FALSE,FALSE,TRUE,TRUE,U
Chirostoma charari,fishbase,freshwater,North America,Least silverside,,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,CR,TRUE,FALSE,TRUE,TRUE,TRUE,U
Chirostoma compressum,fishbase,freshwater,North America,Pescado blanco (Mexico; no English common name),,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NE,NA,NA,NA,NA,NA,NA
Chirostoma grandocule,fishbase,freshwater,North America,Bigeye silverside,,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,DD,TRUE,TRUE,FALSE,TRUE,FALSE,O
Chirostoma jordani,fishbase,freshwater,North America,Charal / Mesa Silverside,,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,EN,TRUE,FALSE,FALSE,FALSE,TRUE,O
Chlamydogobius eremius,,freshwater,Australia,Desert goby,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0.5,NA,250,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Chlamydogobius japalpa,,freshwater,Australia,Finke goby,,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,TRUE,TRUE,FALSE,O
Chlamydogobius micropterus,,freshwater,Australia,Elizabeth springs goby,,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
Chrosomus neogaeus,fishbase,freshwater,North America,Finescale dace,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,NA,6,3060,NA,NA,NA,NA,FALSE,NA,NA,NA,,,NA,TRUE,TRUE,TRU,TRUE,NA,NA,TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cichlasoma cyanoguttatum,http://www.fishtraits.info/,freshwater,North America,Rio Grande cichlid,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,1,8,4000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.5,36.9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cichlasoma minckleyi,fishbase,freshwater,North America,Minkley's cichlid,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,17.5,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,FALSE,TRUE,NA,NA,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Cobitis taenia,fishbase,freshwater,Europe and Asia,spined loach,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,13.5,2,5,1000,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Coptodon zillii,fishbase.de,freshwater,Africa; Eurasia,Redbelly tilapia,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,40,2.5,7,"1,000",FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus aleuticus,http://www.fishtraits.info/,freshwater,North America,coastrange sculpin,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,17,2.5,8,1764,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus asper,http://www.fishtraits.info/,freshwater,North America,prickly sculpin,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,30,2,5,10980,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus bairdii,http://www.fishtraits.info/,freshwater,North America,mottled sculpin,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,15,2,6,176,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus beldingii,http://www.fishtraits.info/,freshwater,North America,Paiute sculpin,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,3,5,600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.4,28.3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus bendirei,fishbase,freshwater,North America,Malheur sculpin,,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus confusus,http://www.fishtraits.info/,freshwater,North America,shorthead sculpin,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,15,2.5,4,165,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-7.1,26.7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus echinatus,http://www.fishtraits.info/,freshwater,North America,Utah Lake sculpin,,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,-11.3,26.1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,NA,NA,NA,EX,TRUE,FALSE,FALSE,FALSE,TRUE,D2
Cottus extensus,http://www.fishtraits.info/,freshwater,North America,Bear Lake sculpin,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,2,5,1000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-12.6,26.9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
Couesius plumbeus,http://www.fishtraits.info/,freshwater,North America,lake chub,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,23,3,5,2400,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Craterocephalus cuneiceps,,freshwater,Australia,Deep hardyhead,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Craterocephalus dalhousiensis,,freshwater,Australia,Dalhousie hardyhead,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,EN,TRUE,FALSE,TRUE,TRUE,FALSE,O
